epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4113,0.94362,1.04683,0.13288,0.45283,1.37549,0.99947,0.98413,0.985,0.73729,0.99409,0.97884,0.97366,0.82506,0.95317,0.70373,0.09895,0.33419,1.4339,0.000328283,0.000328283,0.0675
2,39.6949,0.92876,1.00478,0.13401,0.44324,1.35216,0.99943,0.98413,0.985,0.7384,0.99406,0.97884,0.97306,0.83226,0.95633,0.66857,0.09927,0.33131,1.42671,0.000655066,0.000655066,0.0344934
3,55.901,0.89529,0.90784,0.13323,0.43935,1.32458,0.99945,0.98413,0.985,0.73714,0.99408,0.97884,0.97355,0.82841,0.96185,0.68021,0.10035,0.33675,1.43101,0.000975249,0.000975249,0.0014803
4,74.308,0.91784,0.84904,0.13261,0.43991,1.34161,0.99937,0.98413,0.985,0.73345,0.99399,0.97884,0.97274,0.82648,0.95933,0.68148,0.09959,0.33486,1.41987,0.0009703,0.0009703,0.0009703
5,91.6331,0.92762,0.85631,0.13203,0.44119,1.3417,0.99945,0.98413,0.985,0.73357,0.99408,0.97884,0.97301,0.83509,0.96347,0.67518,0.10017,0.33369,1.41847,0.0009604,0.0009604,0.0009604
6,107.751,0.91839,0.83442,0.13341,0.44178,1.3446,0.99945,0.98413,0.985,0.73161,0.99408,0.97884,0.97323,0.83568,0.96275,0.6664,0.10131,0.33208,1.41726,0.0009505,0.0009505,0.0009505
7,129.656,0.90166,0.86384,0.1309,0.43398,1.3181,0.99947,0.98413,0.985,0.73669,0.99409,0.97884,0.97129,0.81784,0.94626,0.69816,0.09953,0.33094,1.39815,0.0009406,0.0009406,0.0009406
8,157.164,0.90698,0.81184,0.12953,0.4437,1.32757,0.99945,0.98413,0.985,0.74029,0.99408,0.97884,0.97113,0.82451,0.95272,0.6832,0.10119,0.33712,1.40768,0.0009307,0.0009307,0.0009307
9,183.124,0.89363,0.85158,0.13208,0.43052,1.32014,0.99942,0.98413,0.985,0.73486,0.99405,0.97884,0.97177,0.83312,0.95047,0.65483,0.09838,0.3311,1.40153,0.0009208,0.0009208,0.0009208
10,209.025,0.89404,0.81748,0.13186,0.43541,1.31693,0.99948,0.98413,0.985,0.73355,0.99411,0.97884,0.9728,0.8309,0.9537,0.67567,0.09901,0.32738,1.40878,0.0009109,0.0009109,0.0009109
11,229.286,0.89714,0.86277,0.12765,0.4359,1.31149,0.99949,0.98413,0.985,0.73399,0.99412,0.97884,0.97215,0.84033,0.95342,0.65227,0.09809,0.33148,1.40927,0.000901,0.000901,0.000901
12,245.783,0.88684,0.85843,0.13298,0.42382,1.31294,0.99948,0.98413,0.985,0.73579,0.99411,0.97884,0.9721,0.82957,0.95061,0.66541,0.10069,0.32859,1.408,0.0008911,0.0008911,0.0008911
13,262.51,0.88545,0.74394,0.12928,0.43267,1.32276,0.9995,0.98413,0.985,0.73026,0.99413,0.97884,0.97156,0.84323,0.96291,0.64248,0.09995,0.32974,1.41571,0.0008812,0.0008812,0.0008812
14,279.162,0.88064,0.81811,0.13119,0.43077,1.31123,0.99951,0.98413,0.985,0.73098,0.99414,0.97884,0.97156,0.84224,0.95546,0.64545,0.10055,0.33048,1.41292,0.0008713,0.0008713,0.0008713
15,296.837,0.88213,0.80481,0.12856,0.42611,1.30223,0.99952,0.98413,0.985,0.72674,0.99414,0.97884,0.97199,0.81859,0.96252,0.70488,0.09979,0.32629,1.42354,0.0008614,0.0008614,0.0008614
16,314.273,0.89443,0.83452,0.13069,0.42134,1.31018,0.9995,0.98413,0.985,0.73121,0.99412,0.97884,0.97134,0.82185,0.95368,0.67585,0.10056,0.32739,1.4101,0.0008515,0.0008515,0.0008515
17,330.681,0.88475,0.78684,0.13015,0.42419,1.30828,0.99954,0.98413,0.985,0.72342,0.99416,0.97884,0.97177,0.82606,0.98458,0.67311,0.09958,0.33116,1.43992,0.0008416,0.0008416,0.0008416
18,351.977,0.87458,0.78747,0.12671,0.42482,1.30435,0.99946,0.98413,0.985,0.72521,0.99409,0.97884,0.97296,0.83564,0.97754,0.65552,0.10044,0.33744,1.43492,0.0008317,0.0008317,0.0008317
19,368.024,0.89044,0.8072,0.12847,0.43137,1.31231,0.99953,0.98413,0.985,0.72845,0.99415,0.97884,0.97086,0.8392,0.96276,0.6295,0.10003,0.32575,1.42265,0.0008218,0.0008218,0.0008218
20,384.166,0.87662,0.83465,0.1289,0.4263,1.31077,0.99951,0.98413,0.985,0.72928,0.99413,0.97884,0.97118,0.83195,0.96329,0.65339,0.10071,0.3305,1.4222,0.0008119,0.0008119,0.0008119
21,400.319,0.89434,0.83473,0.12863,0.43116,1.31774,0.99948,0.98413,0.985,0.73034,0.99411,0.97884,0.97081,0.82366,0.96411,0.66713,0.09973,0.32767,1.42217,0.000802,0.000802,0.000802
22,417.2,0.86909,0.8204,0.12808,0.42315,1.30588,0.99953,0.98413,0.985,0.71791,0.99416,0.97884,0.97059,0.825,0.9863,0.67032,0.1,0.33341,1.44636,0.0007921,0.0007921,0.0007921
23,433.714,0.87407,0.77191,0.12568,0.4231,1.29991,0.99949,0.98413,0.985,0.72642,0.99411,0.97884,0.97048,0.84132,0.96261,0.62559,0.10166,0.32712,1.42105,0.0007822,0.0007822,0.0007822
24,450.009,0.88607,0.79064,0.12805,0.42873,1.31551,0.99951,0.98413,0.985,0.72656,0.99413,0.97884,0.9714,0.8238,0.96884,0.66945,0.1004,0.33459,1.43383,0.0007723,0.0007723,0.0007723
25,466.148,0.87595,0.81831,0.12958,0.42273,1.31035,0.99952,0.98413,0.985,0.72909,0.99415,0.97884,0.97097,0.82641,0.96391,0.65439,0.09868,0.32694,1.42415,0.0007624,0.0007624,0.0007624
26,486.598,0.87626,0.83199,0.12793,0.42199,1.30229,0.99951,0.98413,0.985,0.7284,0.99414,0.97884,0.97108,0.83502,0.95966,0.64356,0.09849,0.32783,1.41984,0.0007525,0.0007525,0.0007525
27,506.927,0.89167,0.80206,0.12663,0.43221,1.30479,0.99948,0.98413,0.985,0.72586,0.9941,0.97884,0.97237,0.83057,0.96484,0.63899,0.09846,0.33153,1.42851,0.0007426,0.0007426,0.0007426
28,528.295,0.87456,0.76642,0.12427,0.43025,1.29775,0.9995,0.98413,0.985,0.73185,0.99413,0.97884,0.97274,0.83456,0.96102,0.65975,0.09959,0.32809,1.42702,0.0007327,0.0007327,0.0007327
29,549.428,0.87232,0.79034,0.1271,0.41706,1.30253,0.99952,0.98413,0.985,0.73153,0.99414,0.97884,0.97075,0.82819,0.97149,0.64306,0.09817,0.32834,1.42912,0.0007228,0.0007228,0.0007228
30,570.361,0.85852,0.75286,0.12791,0.41852,1.29741,0.99951,0.98413,0.985,0.72771,0.99413,0.97884,0.97054,0.81805,0.96808,0.67159,0.09845,0.32514,1.4279,0.0007129,0.0007129,0.0007129
31,592.509,0.86945,0.78423,0.12719,0.41761,1.30008,0.99952,0.98413,0.985,0.72472,0.99415,0.97884,0.97048,0.82395,0.98109,0.65429,0.09831,0.33124,1.4404,0.000703,0.000703,0.000703
