epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,391.966,1.02035,1.80682,0.20209,0.54255,1.3948,0.99965,0.98413,0.985,0.69483,0.99427,0.97884,0.97371,0.74533,1.03869,0.898,0.14229,0.40209,1.49453,0.0009704,0.0009704,0.0009704
28,400.627,1.01845,1.77301,0.20329,0.53927,1.39591,0.99964,0.98413,0.985,0.70993,0.9889,0.97354,0.97174,0.73646,1.0312,0.96363,0.14398,0.39161,1.47927,0.0009308,0.0009308,0.0009308
29,428.541,1.01559,1.75263,0.20108,0.54025,1.40608,0.99956,0.98413,0.985,0.67853,0.99418,0.97884,0.97344,0.68895,1.09646,1.05712,0.13519,0.41083,1.54187,0.0008912,0.0008912,0.0008912
30,441.701,1.00036,1.63658,0.19919,0.53844,1.3836,0.99962,0.98413,0.985,0.68182,0.99425,0.97884,0.97387,0.75666,1.1293,0.88958,0.14049,0.42726,1.57652,0.0008516,0.0008516,0.0008516
31,454.508,1.00136,1.716,0.20334,0.53169,1.37682,0.99961,0.98413,0.985,0.69714,0.98886,0.97354,0.97412,0.75382,1.06397,0.92594,0.13727,0.41911,1.51549,0.000812,0.000812,0.000812
32,468.029,0.99179,1.55042,0.20018,0.52739,1.39193,0.99966,0.98413,0.985,0.71791,0.99429,0.97884,0.97296,0.77408,1.01278,0.80648,0.14088,0.41195,1.46456,0.0007724,0.0007724,0.0007724
33,480.357,1.0039,1.53315,0.19563,0.52134,1.3812,0.99964,0.98413,0.985,0.72594,0.99427,0.97884,0.97118,0.7469,0.97556,0.89539,0.14335,0.39059,1.4274,0.0007328,0.0007328,0.0007328
34,492.748,0.96899,1.49616,0.19865,0.50757,1.37819,0.99961,0.98413,0.985,0.63532,0.99424,0.97884,0.97398,0.78687,1.22039,0.79417,0.14036,0.44212,1.67975,0.0006932,0.0006932,0.0006932
35,504.513,0.96561,1.49797,0.19942,0.51401,1.37557,0.99965,0.98413,0.985,0.6873,0.9889,0.97354,0.97234,0.77534,1.0734,0.80889,0.13525,0.40013,1.51342,0.0006536,0.0006536,0.0006536
36,517.428,0.97451,1.39556,0.19457,0.52052,1.37149,0.99965,0.98413,0.985,0.70518,0.99427,0.97884,0.97392,0.77318,1.02823,0.85173,0.13702,0.37642,1.47976,0.000614,0.000614,0.000614
37,527.498,0.95801,1.58738,0.19575,0.50186,1.35857,0.99959,0.98413,0.985,0.7222,0.99422,0.97884,0.97478,0.76945,0.98591,0.802,0.14363,0.38488,1.42895,0.0005744,0.0005744,0.0005744
38,539.132,0.93202,1.34661,0.19427,0.48289,1.34142,0.99964,0.98413,0.985,0.70297,0.99426,0.97884,0.97274,0.78748,1.03083,0.77633,0.13952,0.36618,1.45906,0.0005348,0.0005348,0.0005348
39,550.174,0.96303,1.40133,0.19433,0.4989,1.35404,0.99955,0.98413,0.985,0.72224,0.99418,0.97884,0.97339,0.79587,0.97361,0.76744,0.13801,0.36899,1.41074,0.0004952,0.0004952,0.0004952
40,567.525,0.98001,1.25463,0.18664,0.50384,1.36357,0.99965,0.98413,0.985,0.70488,0.99427,0.97884,0.97441,0.80194,1.01837,0.74671,0.13715,0.36093,1.45318,0.0004556,0.0004556,0.0004556
41,627.378,0.81812,0.67251,0.14219,0.3659,1.372,0.99965,0.98413,0.985,0.70616,0.99427,0.97884,0.97226,0.81777,1.02896,0.72138,0.11417,0.38131,1.48333,0.000416,0.000416,0.000416
42,644.103,0.79956,0.64117,0.12701,0.34598,1.35384,0.9996,0.98413,0.985,0.73532,0.99422,0.97884,0.97188,0.81416,0.95234,0.72106,0.09723,0.37288,1.41106,0.0003764,0.0003764,0.0003764
43,656.025,0.80471,0.59727,0.11688,0.34057,1.3649,0.99958,0.98413,0.985,0.72582,0.99421,0.97884,0.97285,0.81393,0.94785,0.71532,0.09039,0.36194,1.39518,0.0003368,0.0003368,0.0003368
44,675.407,0.78801,0.57856,0.10853,0.3312,1.33271,0.99947,0.98413,0.985,0.72212,0.9941,0.97884,0.97215,0.82923,0.98649,0.68829,0.0833,0.36594,1.43169,0.0002972,0.0002972,0.0002972
45,687.429,0.7825,0.56198,0.10501,0.32587,1.34018,0.99934,0.98413,0.985,0.68863,0.99397,0.97884,0.97188,0.82687,1.06227,0.68195,0.08509,0.36981,1.51718,0.0002576,0.0002576,0.0002576
46,700.591,0.76516,0.54852,0.10324,0.32334,1.31045,0.99964,0.98413,0.985,0.73537,0.99426,0.97884,0.97204,0.81944,0.93898,0.67207,0.08151,0.3472,1.39326,0.000218,0.000218,0.000218
47,714.016,0.7581,0.54071,0.10365,0.31371,1.31469,0.99965,0.98413,0.985,0.7054,0.99428,0.97884,0.97242,0.84112,1.01393,0.66306,0.07797,0.35086,1.46972,0.0001784,0.0001784,0.0001784
48,724.9,0.75728,0.51544,0.09822,0.31056,1.32752,0.99966,0.98413,0.985,0.7321,0.99429,0.97884,0.97188,0.8362,0.9456,0.66262,0.07856,0.34971,1.40179,0.0001388,0.0001388,0.0001388
49,735.601,0.73936,0.54069,0.09829,0.30764,1.29325,0.99962,0.98413,0.985,0.73629,0.99425,0.97884,0.97199,0.84525,0.94951,0.64743,0.0796,0.34066,1.39815,9.92e-05,9.92e-05,9.92e-05
50,746.387,0.74,0.52317,0.10346,0.3054,1.31675,0.9996,0.98413,0.985,0.74098,0.99423,0.97884,0.97183,0.8406,0.9374,0.64994,0.0786,0.34285,1.38731,5.96e-05,5.96e-05,5.96e-05
