epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,521.722,0.93462,1.06232,0.1873,0.46982,1.3472,0.99962,0.98413,0.985,0.69446,0.99424,0.97884,0.97167,0.77593,1.07082,0.794,0.12064,0.36706,1.51871,0.0008614,0.0008614,0.0008614
13,472.378,0.94464,1.0377,0.18605,0.48107,1.36924,0.99965,0.98413,0.985,0.70218,0.99428,0.97884,0.97177,0.79772,1.04061,0.7274,0.1199,0.35692,1.48286,0.0008812,0.0008812,0.0008812
16,554.459,0.93373,1.08645,0.18978,0.46177,1.35024,0.99964,0.98413,0.985,0.70967,0.99426,0.97884,0.9714,0.79185,1.01464,0.76209,0.1215,0.34833,1.45982,0.0008515,0.0008515,0.0008515
14,507.333,0.93118,1.10592,0.18834,0.47293,1.36271,0.99961,0.98413,0.985,0.70301,0.99424,0.97884,0.97167,0.78139,1.02275,0.77732,0.11962,0.35791,1.47599,0.0008713,0.0008713,0.0008713
17,589.07,0.93323,1.01565,0.18611,0.47111,1.35247,0.99964,0.98413,0.985,0.70841,0.99426,0.97884,0.97183,0.79291,1.01945,0.73843,0.12216,0.35493,1.46413,0.0008416,0.0008416,0.0008416
15,540.605,0.93462,1.06232,0.1873,0.46982,1.3472,0.99962,0.98413,0.985,0.69446,0.99424,0.97884,0.97167,0.77593,1.07082,0.794,0.12064,0.36706,1.51871,0.0008614,0.0008614,0.0008614
18,624.858,0.9204,1.02758,0.18364,0.46869,1.35172,0.99964,0.98413,0.985,0.67789,0.99427,0.97884,0.9721,0.80197,1.13729,0.71918,0.12188,0.37456,1.57864,0.0008317,0.0008317,0.0008317
16,575.428,0.93373,1.08645,0.18978,0.46177,1.35024,0.99964,0.98413,0.985,0.70967,0.99426,0.97884,0.9714,0.79185,1.01464,0.76209,0.1215,0.34833,1.45982,0.0008515,0.0008515,0.0008515
19,665.081,0.93723,1.04435,0.18386,0.47332,1.35443,0.99965,0.98413,0.985,0.70983,0.99428,0.97884,0.97134,0.78337,1.02694,0.74941,0.1232,0.35676,1.46979,0.0008218,0.0008218,0.0008218
17,612.283,0.93323,1.01565,0.18611,0.47111,1.35247,0.99964,0.98413,0.985,0.70841,0.99426,0.97884,0.97183,0.79291,1.01945,0.73843,0.12216,0.35493,1.46413,0.0008416,0.0008416,0.0008416
20,704.707,0.91056,1.07646,0.18692,0.46531,1.34283,0.99964,0.98413,0.985,0.69621,0.99427,0.97884,0.97151,0.78747,1.05956,0.76832,0.12516,0.36504,1.50882,0.0008119,0.0008119,0.0008119
18,658.548,0.9204,1.02758,0.18364,0.46869,1.35172,0.99964,0.98413,0.985,0.67789,0.99427,0.97884,0.9721,0.80197,1.13729,0.71918,0.12188,0.37456,1.57864,0.0008317,0.0008317,0.0008317
21,747.085,0.92901,1.03986,0.18446,0.46705,1.35417,0.99961,0.98413,0.985,0.70231,0.99423,0.97884,0.97177,0.78273,1.04382,0.75448,0.1257,0.36048,1.49799,0.000802,0.000802,0.000802
19,689.545,0.93723,1.04435,0.18386,0.47332,1.35443,0.99965,0.98413,0.985,0.70983,0.99428,0.97884,0.97134,0.78337,1.02694,0.74941,0.1232,0.35676,1.46979,0.0008218,0.0008218,0.0008218
22,781.4,0.92755,1.01771,0.18523,0.46484,1.35236,0.99963,0.98413,0.985,0.68361,0.99425,0.97884,0.97188,0.79038,1.10124,0.76442,0.12544,0.36599,1.55083,0.0007921,0.0007921,0.0007921
20,730.72,0.91056,1.07646,0.18692,0.46531,1.34283,0.99964,0.98413,0.985,0.69621,0.99427,0.97884,0.97151,0.78747,1.05956,0.76832,0.12516,0.36504,1.50882,0.0008119,0.0008119,0.0008119
23,820.997,0.92315,0.99601,0.1819,0.46342,1.3411,0.99965,0.98413,0.985,0.71593,0.99427,0.97884,0.97188,0.81139,0.99438,0.71759,0.12631,0.35731,1.44899,0.0007822,0.0007822,0.0007822
21,770.657,0.92901,1.03986,0.18446,0.46705,1.35417,0.99961,0.98413,0.985,0.70231,0.99423,0.97884,0.97177,0.78273,1.04382,0.75448,0.1257,0.36048,1.49799,0.000802,0.000802,0.000802
24,862.183,0.9343,1.04352,0.1849,0.46695,1.35328,0.99962,0.98413,0.985,0.67794,0.99425,0.97884,0.97237,0.77255,1.11787,0.78047,0.12448,0.37199,1.57134,0.0007723,0.0007723,0.0007723
22,808.418,0.92755,1.01771,0.18523,0.46484,1.35236,0.99963,0.98413,0.985,0.68361,0.99425,0.97884,0.97188,0.79038,1.10124,0.76442,0.12544,0.36599,1.55083,0.0007921,0.0007921,0.0007921
25,901.902,0.92449,1.02374,0.18463,0.46488,1.3549,0.99963,0.98413,0.985,0.70653,0.99426,0.97884,0.97188,0.78497,1.01945,0.78178,0.12601,0.35203,1.47132,0.0007624,0.0007624,0.0007624
23,850.543,0.92315,0.99601,0.1819,0.46342,1.3411,0.99965,0.98413,0.985,0.71593,0.99427,0.97884,0.97188,0.81139,0.99438,0.71759,0.12631,0.35731,1.44899,0.0007822,0.0007822,0.0007822
26,937.188,0.92588,1.03991,0.18286,0.46323,1.34657,0.99963,0.98413,0.985,0.7248,0.99426,0.97884,0.97188,0.79531,0.97971,0.73561,0.12692,0.35055,1.42936,0.0007525,0.0007525,0.0007525
24,887.199,0.9343,1.04352,0.1849,0.46695,1.35328,0.99962,0.98413,0.985,0.67794,0.99425,0.97884,0.97237,0.77255,1.11787,0.78047,0.12448,0.37199,1.57134,0.0007723,0.0007723,0.0007723
27,974.762,0.9328,1.0151,0.18193,0.46986,1.34249,0.99961,0.98413,0.985,0.69487,0.99424,0.97884,0.97156,0.7866,1.05975,0.74512,0.12542,0.35777,1.5101,0.0007426,0.0007426,0.0007426
25,921.112,0.92449,1.02374,0.18463,0.46488,1.3549,0.99963,0.98413,0.985,0.70653,0.99426,0.97884,0.97188,0.78497,1.01945,0.78178,0.12601,0.35203,1.47132,0.0007624,0.0007624,0.0007624
28,1007.56,0.91926,0.98482,0.17973,0.47425,1.33603,0.99964,0.98413,0.985,0.6925,0.99426,0.97884,0.97188,0.78192,1.07791,0.76855,0.12462,0.35545,1.5335,0.0007327,0.0007327,0.0007327
26,951.771,0.92588,1.03991,0.18286,0.46323,1.34657,0.99963,0.98413,0.985,0.7248,0.99426,0.97884,0.97188,0.79531,0.97971,0.73561,0.12692,0.35055,1.42936,0.0007525,0.0007525,0.0007525
