epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1503,1.00259,1.19489,0.17652,0.53542,1.41901,0.99961,0.98413,0.985,0.69035,0.99424,0.97884,0.9722,0.78603,1.0799,0.78171,0.11711,0.36759,1.53912,0.000332066,0.000332066,0.0671255
2,142.78,0.92346,1.03554,0.17447,0.48934,1.35689,0.99957,0.98413,0.985,0.68616,0.9942,0.97884,0.9721,0.78982,1.07679,0.75368,0.11734,0.37012,1.53415,0.000658812,0.000658812,0.0341189
3,217.644,0.86493,1.01559,0.1747,0.4648,1.30952,0.99963,0.98413,0.985,0.70418,0.99425,0.97884,0.97253,0.76001,1.03988,0.83013,0.11524,0.37431,1.51513,0.000978958,0.000978958,0.0011057
4,305.47,0.82017,0.98265,0.17159,0.45327,1.27959,0.99962,0.98413,0.985,0.70897,0.99425,0.97884,0.97339,0.7857,1.04357,0.78007,0.11691,0.39589,1.52688,0.0009703,0.0009703,0.0009703
5,374.831,0.78275,0.97496,0.17176,0.4428,1.25909,0.99965,0.98413,0.985,0.69485,0.99427,0.97884,0.97242,0.77687,1.09081,0.78781,0.11727,0.39769,1.6022,0.0009604,0.0009604,0.0009604
6,445.732,0.76818,0.94405,0.17048,0.43203,1.2419,0.99963,0.98413,0.985,0.70278,0.99426,0.97884,0.9722,0.8003,1.07316,0.73517,0.11713,0.39271,1.58805,0.0009505,0.0009505,0.0009505
7,515.031,0.74095,0.93644,0.16894,0.42104,1.22661,0.99965,0.98413,0.985,0.66302,0.99428,0.97884,0.97242,0.78693,1.20027,0.77319,0.1151,0.42217,1.78419,0.0009406,0.0009406,0.0009406
8,585.305,0.72304,0.93083,0.1671,0.41625,1.21644,0.99964,0.98413,0.985,0.67791,0.99425,0.97884,0.97409,0.77141,1.15834,0.8167,0.11423,0.39994,1.73512,0.0009307,0.0009307,0.0009307
9,653.665,0.711,0.90991,0.1678,0.40947,1.20178,0.99967,0.98413,0.985,0.68156,0.99429,0.97884,0.97258,0.77984,1.13424,0.78672,0.11571,0.3957,1.69795,0.0009208,0.0009208,0.0009208
10,720.968,0.69372,0.88528,0.16564,0.40415,1.19537,0.99966,0.98413,0.985,0.69494,0.99428,0.97884,0.97446,0.77888,1.06267,0.75868,0.11592,0.39418,1.60318,0.0009109,0.0009109,0.0009109
11,814.654,0.68395,0.87962,0.16611,0.39765,1.18838,0.99967,0.98413,0.985,0.65779,0.99429,0.97884,0.97306,0.79354,1.18568,0.74122,0.11448,0.41076,1.77497,0.000901,0.000901,0.000901
12,896.088,0.67581,0.8456,0.16366,0.3931,1.18245,0.99965,0.98413,0.985,0.67522,0.9889,0.97354,0.96887,0.78679,1.11998,0.71802,0.11397,0.40044,1.68564,0.0008911,0.0008911,0.0008911
13,968.406,0.66894,0.88391,0.16358,0.39397,1.18322,0.99966,0.98413,0.985,0.67465,0.99429,0.97884,0.97167,0.78996,1.1653,0.7361,0.11418,0.39434,1.72798,0.0008812,0.0008812,0.0008812
14,1037.88,0.66108,0.8692,0.16198,0.38743,1.17157,0.99967,0.98413,0.985,0.66231,0.99429,0.97884,0.97151,0.77895,1.20249,0.7525,0.11434,0.40389,1.77894,0.0008713,0.0008713,0.0008713
15,1104.73,0.65327,0.85751,0.16209,0.38154,1.16662,0.99964,0.98413,0.985,0.66536,0.99427,0.97884,0.97323,0.79352,1.15871,0.70702,0.11206,0.40021,1.72357,0.0008614,0.0008614,0.0008614
16,1177.52,0.63926,0.86864,0.16243,0.37774,1.1629,0.99965,0.98413,0.985,0.63169,0.99428,0.97884,0.97129,0.79147,1.27793,0.72482,0.1128,0.41466,1.89334,0.0008515,0.0008515,0.0008515
17,1243.65,0.6256,0.83632,0.16049,0.37354,1.14573,0.99966,0.98413,0.985,0.67661,0.99429,0.97884,0.97102,0.7896,1.12089,0.73139,0.11117,0.39259,1.66581,0.0008416,0.0008416,0.0008416
18,1311.66,0.62568,0.82052,0.15959,0.36877,1.14978,0.99967,0.98413,0.985,0.67738,0.99429,0.97884,0.97328,0.80091,1.10851,0.71138,0.11083,0.4119,1.64168,0.0008317,0.0008317,0.0008317
19,1381.09,0.62217,0.82118,0.15809,0.37113,1.1466,0.99967,0.98413,0.985,0.66784,0.9943,0.97884,0.97237,0.78067,1.12738,0.73509,0.11211,0.39664,1.67419,0.0008218,0.0008218,0.0008218
20,1451.73,0.61468,0.83071,0.15782,0.36465,1.14073,0.99965,0.98413,0.985,0.69533,0.99428,0.97884,0.97328,0.80524,1.0554,0.70476,0.11011,0.40059,1.56289,0.0008119,0.0008119,0.0008119
21,1516.5,0.60456,0.81272,0.157,0.36047,1.13493,0.99963,0.98413,0.985,0.66998,0.99426,0.97884,0.97328,0.79038,1.12843,0.72381,0.11097,0.39506,1.66486,0.000802,0.000802,0.000802
22,1581.31,0.60322,0.80286,0.15622,0.36002,1.13401,0.99966,0.98413,0.985,0.68061,0.99428,0.97884,0.97075,0.81513,1.08553,0.68447,0.10936,0.38372,1.61188,0.0007921,0.0007921,0.0007921
23,1648.21,0.60058,0.79961,0.15575,0.35849,1.1322,0.99964,0.98413,0.985,0.6519,0.99426,0.97884,0.9722,0.7959,1.18813,0.71979,0.10889,0.39853,1.72447,0.0007822,0.0007822,0.0007822
24,1716.79,0.59575,0.80277,0.15522,0.356,1.12922,0.99966,0.98413,0.985,0.67868,0.98891,0.97354,0.9664,0.76526,1.10123,0.77678,0.10975,0.38932,1.62397,0.0007723,0.0007723,0.0007723
