epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,545.915,1.09611,2.15723,0.19918,0.59066,1.44537,0.99962,0.98413,0.985,0.70904,0.98887,0.97354,0.97257,0.69594,1.00812,1.2162,0.14726,0.44736,1.47728,0.0017426,0.0017426,0.0017426
28,564.178,1.09143,2.0337,0.19763,0.59454,1.44844,1,0.98402,0.985,0.68648,0.99318,0.97354,0.97386,0.71767,1.09207,0.99773,0.13014,0.45335,1.54823,0.0017327,0.0017327,0.0017327
29,582.553,1.07071,2.09883,0.19457,0.59822,1.44374,0.99949,0.98413,0.985,0.65811,0.99412,0.97884,0.97414,0.69581,1.15265,1.1055,0.1299,0.45488,1.59209,0.0017228,0.0017228,0.0017228
30,602.143,1.04809,1.97125,0.19436,0.56939,1.41617,0.99963,0.98413,0.985,0.6963,0.99063,0.97354,0.97316,0.72004,1.04366,1.03033,0.13432,0.45014,1.50802,0.0017129,0.0017129,0.0017129
31,623.728,1.06332,1.99037,0.19763,0.59243,1.42209,0.99947,0.98413,0.985,0.67904,0.98887,0.97354,0.97376,0.77401,1.0969,0.90299,0.13731,0.42989,1.55035,0.001703,0.001703,0.001703
32,644.305,1.0649,1.86183,0.19657,0.59532,1.44532,0.99963,0.98413,0.985,0.67864,0.99426,0.97884,0.97226,0.72077,1.11668,1.03309,0.14907,0.44613,1.56083,0.0016931,0.0016931,0.0016931
33,664.766,1.05846,2.02027,0.19131,0.58861,1.42297,0.99911,0.98413,0.985,0.68328,0.98948,0.97354,0.97478,0.72037,1.12216,1.04155,0.128,0.49343,1.54189,0.0016832,0.0016832,0.0016832
34,684.2,1.02974,1.89106,0.19211,0.57209,1.42704,0.99958,0.98413,0.985,0.66666,0.98883,0.97354,0.97366,0.71475,1.14544,1.02105,0.13069,0.47573,1.58747,0.0016733,0.0016733,0.0016733
35,704.642,1.02836,1.88013,0.19154,0.56768,1.42869,0.99958,0.98413,0.985,0.69409,0.9942,0.97884,0.97129,0.76083,1.08365,0.87362,0.12923,0.42406,1.5363,0.0016634,0.0016634,0.0016634
36,725.779,1.04122,1.83554,0.18826,0.57085,1.41463,0.99961,0.98413,0.985,0.6912,0.99424,0.97884,0.97102,0.75343,1.09121,0.95145,0.1336,0.44012,1.54075,0.0016535,0.0016535,0.0016535
37,745.496,1.02882,1.90599,0.18849,0.5575,1.40486,0.99883,0.98413,0.985,0.6866,0.98867,0.97354,0.97116,0.74588,1.06342,0.96384,0.13591,0.4061,1.51762,0.0016436,0.0016436,0.0016436
38,765.287,1.00424,1.74197,0.18627,0.55236,1.39371,0.99882,0.98413,0.985,0.69091,0.98808,0.97354,0.97391,0.74056,1.06674,0.98551,0.13328,0.45782,1.51914,0.0016337,0.0016337,0.0016337
39,786.016,1.03553,1.7268,0.18784,0.56928,1.40357,0.99962,0.98413,0.985,0.72248,0.99425,0.97884,0.97387,0.74982,0.99256,0.90529,0.13165,0.4098,1.43034,0.0016238,0.0016238,0.0016238
40,813.719,1.06197,1.70458,0.17985,0.57448,1.42681,0.9995,0.98413,0.985,0.70922,0.98364,0.96825,0.9632,0.70574,1.02342,0.97669,0.12711,0.42535,1.47128,0.0016139,0.0016139,0.0016139
41,833.592,1.00412,1.71803,0.1864,0.55926,1.39419,0.99966,0.98413,0.985,0.70915,0.98912,0.97354,0.9737,0.7572,1.01993,0.86002,0.12536,0.40996,1.46611,0.001604,0.001604,0.001604
42,851.738,1.01944,1.65218,0.18195,0.53939,1.39863,0.99966,0.98413,0.985,0.72455,0.99427,0.97884,0.97435,0.7555,0.98315,0.91638,0.13222,0.4055,1.43341,0.0015941,0.0015941,0.0015941
43,872.654,1.0463,1.71811,0.18225,0.57047,1.40581,0.99956,0.98413,0.985,0.69151,0.99418,0.97884,0.9722,0.72634,1.0749,0.97243,0.12926,0.4434,1.52007,0.0015842,0.0015842,0.0015842
44,895.219,0.99673,1.64193,0.18447,0.54267,1.39487,0.99966,0.98413,0.985,0.70714,0.98963,0.97354,0.97149,0.72557,1.05356,1.01668,0.13186,0.42319,1.49682,0.0015743,0.0015743,0.0015743
45,916.419,1.03119,1.62216,0.18275,0.54726,1.41173,0.99953,0.98413,0.985,0.71353,0.98889,0.97354,0.97359,0.76351,0.99968,0.83701,0.13382,0.40314,1.46799,0.0015644,0.0015644,0.0015644
46,928.916,1.00581,1.84464,0.18328,0.54204,1.37512,0.99953,0.98413,0.985,0.67927,0.98903,0.97354,0.97403,0.72222,1.09628,0.94139,0.132,0.45108,1.54567,0.0015545,0.0015545,0.0015545
47,940.736,0.99805,1.63258,0.18132,0.53545,1.38625,0.99962,0.98413,0.985,0.71982,0.99106,0.97354,0.97349,0.75051,0.98623,0.88794,0.13225,0.40389,1.44469,0.0015446,0.0015446,0.0015446
48,959.152,1.02089,1.60081,0.1794,0.54689,1.38327,0.99964,0.98413,0.985,0.72433,0.9889,0.97354,0.97367,0.75549,1.01175,0.89367,0.12757,0.40514,1.45897,0.0015347,0.0015347,0.0015347
49,975.514,0.99522,1.61989,0.17543,0.54302,1.38041,0.99961,0.98413,0.985,0.72111,0.99423,0.97884,0.97161,0.73502,0.95769,0.90137,0.12638,0.40216,1.409,0.0015248,0.0015248,0.0015248
50,987.243,1.00976,1.57762,0.18164,0.53552,1.38094,0.99965,0.98413,0.985,0.69747,0.99428,0.97884,0.97462,0.78784,1.06913,0.80474,0.12109,0.409,1.50774,0.0015149,0.0015149,0.0015149
51,1010.54,0.99721,1.62342,0.1774,0.54348,1.38634,0.99961,0.98413,0.985,0.69991,0.98886,0.97354,0.97258,0.78166,1.06767,0.83106,0.1344,0.40473,1.52274,0.001505,0.001505,0.001505
52,1032.43,0.98996,1.57625,0.18049,0.51603,1.38079,0.99634,0.98413,0.985,0.71642,0.98599,0.97354,0.97241,0.78196,1.00673,0.81518,0.13216,0.41427,1.45858,0.0014951,0.0014951,0.0014951
53,1055.53,0.98024,1.44431,0.17803,0.51063,1.36484,0.99961,0.98413,0.985,0.72597,0.98945,0.97354,0.97149,0.7543,0.95797,0.89446,0.12768,0.37821,1.41142,0.0014852,0.0014852,0.0014852
54,1077.49,0.97965,1.40993,0.17626,0.51551,1.36992,0.99968,0.98413,0.985,0.73315,0.98916,0.97354,0.97419,0.78061,0.95159,0.83852,0.12854,0.37674,1.40057,0.0014753,0.0014753,0.0014753
55,1102.15,0.97678,1.40666,0.17347,0.52102,1.36775,0.99967,0.98413,0.985,0.70785,0.98907,0.97354,0.97365,0.75833,1.01858,0.89978,0.12583,0.4122,1.46363,0.0014654,0.0014654,0.0014654
56,1119.28,0.99295,1.49787,0.17419,0.53876,1.38304,0.99974,0.98413,0.985,0.71881,0.99436,0.97884,0.9728,0.78074,0.99836,0.85656,0.13027,0.39893,1.45334,0.0014555,0.0014555,0.0014555
57,1137.99,0.98729,1.47019,0.17325,0.53304,1.38275,0.99968,0.98413,0.985,0.65884,0.99107,0.97354,0.97376,0.77202,1.14975,0.8328,0.13082,0.44664,1.58164,0.0014456,0.0014456,0.0014456
58,1152.72,1.02205,1.49367,0.17518,0.54049,1.3904,0.99966,0.98413,0.985,0.70761,0.98918,0.97354,0.97397,0.76319,1.0351,0.84375,0.13238,0.4212,1.47929,0.0014357,0.0014357,0.0014357
59,1169.64,0.94935,1.43254,0.17445,0.51274,1.34568,0.99964,0.98413,0.985,0.7146,0.98913,0.97354,0.97284,0.76788,1.01041,0.8508,0.12912,0.3816,1.45865,0.0014258,0.0014258,0.0014258
60,1185.88,0.99183,1.43917,0.16814,0.53099,1.3695,0.99967,0.98413,0.985,0.72399,0.9943,0.97884,0.9729,0.77343,0.98422,0.87962,0.12116,0.37161,1.42948,0.0014159,0.0014159,0.0014159
61,1206.55,0.98178,1.37461,0.16749,0.5235,1.37033,0.99965,0.98413,0.985,0.72148,0.9889,0.97354,0.97425,0.80557,0.99334,0.77669,0.12099,0.38444,1.4369,0.001406,0.001406,0.001406
62,1223.69,0.97568,1.32689,0.16862,0.51872,1.35871,0.99966,0.98413,0.985,0.72393,0.989,0.97354,0.97386,0.80127,0.99186,0.76803,0.11803,0.38764,1.44116,0.0013961,0.0013961,0.0013961
63,1238.92,0.96608,1.36318,0.16937,0.51772,1.36919,0.99967,0.98413,0.985,0.72108,0.98922,0.97354,0.97446,0.76614,0.96486,0.81813,0.12659,0.36835,1.42107,0.0013862,0.0013862,0.0013862
64,1254.97,0.98221,1.42047,0.16886,0.51627,1.36742,0.99965,0.98413,0.985,0.67946,0.9889,0.97354,0.97283,0.77335,1.08961,0.85831,0.1237,0.40596,1.55105,0.0013763,0.0013763,0.0013763
65,1270.39,0.95002,1.43179,0.16702,0.51199,1.34902,0.99967,0.98413,0.985,0.70299,0.98914,0.97354,0.97143,0.79191,0.99948,0.7806,0.12012,0.39567,1.47834,0.0013664,0.0013664,0.0013664
66,1285.69,0.9832,1.34244,0.16537,0.51115,1.36131,0.99958,0.98413,0.985,0.69637,0.98901,0.97354,0.9717,0.75223,1.07549,0.88443,0.12413,0.40538,1.53273,0.0013565,0.0013565,0.0013565
